index,data_nx,data_ny,data_nz,data_voxels,label_nx,label_ny,label_nz,label_voxels
94,90,88,72,570240,90,88,72,570240
95,100,102,96,979200,100,102,96,979200
96,98,98,86,825944,98,98,86,825944
97,82,90,90,664200,82,90,90,664200
98,86,96,84,693504,86,96,84,693504
99,88,84,84,620928,88,84,84,620928
100,86,94,100,808400,86,94,100,808400
101,86,92,92,727904,86,92,92,727904
102,104,94,90,879840,104,94,90,879840
103,88,92,102,825792,88,92,102,825792
104,88,90,82,649440,88,90,82,649440
105,86,82,98,691096,86,82,98,691096
106,86,82,86,606472,86,82,86,606472
107,98,112,70,768320,98,112,70,768320
108,84,106,70,623280,84,106,70,623280
109,84,92,70,540960,84,92,70,540960
110,86,106,92,838672,86,106,92,838672
111,86,96,84,693504,86,96,84,693504
112,102,88,50,448800,102,88,50,448800
113,84,102,50,428400,84,102,50,428400
114,98,84,50,411600,98,84,50,411600
115,68,130,70,618800,68,130,70,618800
116,68,116,70,552160,68,116,70,552160
117,74,112,70,580160,74,112,70,580160
118,74,122,70,631960,74,122,70,631960
119,96,100,110,1056000,96,100,110,1056000
120,100,112,74,828800,100,112,74,828800
121,82,124,86,874448,82,124,86,874448
122,86,110,70,662200,86,110,70,662200
123,80,110,86,756800,80,110,86,756800
124,76,122,84,778848,76,122,84,778848
125,76,110,84,702240,76,110,84,702240
126,82,122,70,700280,82,122,70,700280
127,82,108,70,619920,82,108,70,619920
128,88,106,78,727584,88,106,78,727584
129,92,102,80,750720,92,102,80,750720
130,74,98,92,667184,74,98,92,667184
131,74,106,86,674584,74,106,86,674584
132,80,104,72,599040,80,104,72,599040
133,92,118,102,1107312,92,118,102,1107312
134,94,114,70,750120,94,114,70,750120
135,90,116,100,1044000,90,116,100,1044000
136,92,112,102,1051008,92,112,102,1051008
137,88,102,74,664224,88,102,74,664224
138,92,112,70,721280,92,112,70,721280
139,86,114,82,803928,86,114,82,803928
140,84,114,80,766080,84,114,80,766080
141,74,114,80,674880,74,114,80,674880
142,86,100,82,705200,86,100,82,705200
143,84,100,80,672000,84,100,80,672000
144,74,100,80,592000,74,100,80,592000
145,90,96,82,708480,90,96,82,708480
146,84,90,86,650160,84,90,86,650160
147,80,92,78,574080,80,92,78,574080
148,98,96,72,677376,98,96,72,677376
149,96,106,90,915840,96,106,90,915840
150,88,106,88,820864,88,106,88,820864
151,96,104,86,858624,96,104,86,858624
152,88,102,94,843744,88,102,94,843744
153,94,102,88,843744,94,102,88,843744
154,88,102,86,771936,88,102,86,771936
155,88,96,78,658944,88,96,78,658944
156,98,98,78,749112,98,98,78,749112
157,82,96,72,566784,82,96,72,566784
158,96,90,82,708480,96,90,82,708480
159,96,100,82,787200,96,100,82,787200
160,96,88,80,675840,96,88,80,675840
161,84,94,74,584304,84,94,74,584304
162,86,94,86,695224,86,94,86,695224
163,84,82,86,592368,84,82,86,592368
164,84,82,72,495936,84,82,72,495936
165,98,102,50,499800,98,102,50,499800
166,96,88,50,422400,96,88,50,422400
167,84,100,50,420000,84,100,50,420000
168,84,90,50,378000,84,90,50,378000
169,96,88,50,422400,96,88,50,422400
170,88,100,50,440000,88,100,50,440000
171,86,88,50,378400,86,88,50,378400
172,74,100,50,370000,74,100,50,370000
173,84,88,50,369600,84,88,50,369600
174,74,86,50,318200,74,86,50,318200
175,88,88,50,387200,88,88,50,387200
176,86,76,50,326800,86,76,50,326800
177,74,76,50,281200,74,76,50,281200
178,70,94,124,815920,70,94,124,815920
179,72,100,108,777600,72,100,108,777600
180,100,96,100,960000,100,96,100,960000
181,102,102,74,769896,102,102,74,769896
182,100,102,70,714000,100,102,70,714000
183,94,102,72,690336,94,102,72,690336
184,72,70,76,383040,72,70,76,383040
185,92,106,50,487600,92,106,50,487600
186,82,104,50,426400,82,104,50,426400
187,98,100,50,490000,98,100,50,490000
188,90,100,50,450000,90,100,50,450000
189,84,98,50,411600,84,98,50,411600
190,70,110,100,770000,70,110,100,770000
191,94,110,70,723800,94,110,70,723800
192,90,106,70,667800,90,106,70,667800
193,70,106,82,608440,70,106,82,608440
194,100,108,64,691200,100,108,64,691200
195,94,108,54,548208,94,108,54,548208
196,92,106,54,526608,92,106,54,526608
197,82,106,54,469368,82,106,54,469368
198,52,106,100,551200,52,106,100,551200
199,52,106,100,551200,52,106,100,551200
200,52,106,92,507104,52,106,92,507104
201,70,110,102,785400,70,110,102,785400
202,70,108,90,680400,70,108,90,680400
203,70,110,102,785400,70,110,102,785400
204,70,108,90,680400,70,108,90,680400
205,102,108,56,616896,102,108,56,616896
206,92,108,56,556416,92,108,56,556416
207,102,108,56,616896,102,108,56,616896
208,92,106,54,526608,92,106,54,526608
209,52,106,102,562224,52,106,102,562224
210,52,104,92,497536,52,104,92,497536
211,52,102,92,487968,52,102,92,487968
212,68,108,100,734400,68,108,100,734400
213,70,108,100,756000,70,108,100,756000
214,102,108,50,550800,102,108,50,550800
215,100,108,50,540000,100,108,50,540000
216,100,108,50,540000,100,108,50,540000
217,100,94,50,470000,100,94,50,470000
218,98,94,50,460600,98,94,50,460600
219,94,92,112,968576,94,92,112,968576
220,94,92,100,864800,94,92,100,864800
221,94,92,102,882096,94,92,102,882096
222,92,92,112,947968,92,92,112,947968
223,92,92,100,846400,92,92,100,846400
224,94,92,100,864800,94,92,100,864800
225,92,92,98,829472,92,92,98,829472
226,102,92,102,957168,102,92,102,957168
227,100,92,100,920000,100,92,100,920000
228,102,104,102,1082016,102,104,102,1082016
229,92,104,104,995072,92,104,104,995072
230,100,104,102,1060800,100,104,102,1060800
231,86,124,74,789136,86,124,74,789136
232,86,124,70,746480,86,124,70,746480
233,94,124,90,1049040,94,124,90,1049040
234,84,124,82,854112,84,124,82,854112
235,94,108,82,832464,94,108,82,832464
236,86,114,70,686280,86,114,70,686280
237,86,126,70,758520,86,126,70,758520
238,86,112,70,674240,86,112,70,674240
239,88,100,92,809600,88,100,92,809600
240,70,104,98,713440,70,104,98,713440
241,84,106,88,783552,84,106,88,783552
242,90,122,70,768600,90,122,70,768600
243,70,108,92,695520,70,108,92,695520
244,70,116,90,730800,70,116,90,730800
245,102,92,54,506736,102,92,54,506736
246,86,104,78,697632,86,104,78,697632
247,90,120,60,648000,90,120,60,648000
248,90,108,58,563760,90,108,58,563760
249,90,116,50,522000,90,116,50,522000
250,110,92,114,1153680,110,92,114,1153680
251,94,110,86,889240,94,110,86,889240
252,88,106,94,876832,88,106,94,876832
253,92,110,74,748880,92,110,74,748880
254,94,110,86,889240,94,110,86,889240
255,96,108,86,891648,96,108,86,891648
256,104,100,94,977600,104,100,94,977600
257,106,94,98,976472,106,94,98,976472
258,86,106,94,856904,86,106,94,856904
259,106,94,102,1016328,106,94,102,1016328
260,90,120,70,756000,90,120,70,756000
261,90,120,100,1080000,90,120,100,1080000
262,102,118,74,890664,102,118,74,890664
263,104,114,82,972192,104,114,82,972192
264,82,112,98,900032,82,112,98,900032
265,94,114,100,1071600,94,114,100,1071600
266,102,112,70,799680,102,112,70,799680
267,90,100,88,792000,90,100,88,792000
268,82,118,96,928896,82,118,96,928896
269,98,116,72,818496,98,116,72,818496
270,90,118,72,764640,90,118,72,764640
271,88,82,118,851488,88,82,118,851488
272,106,114,88,1063392,106,114,88,1063392
273,94,114,84,900144,94,114,84,900144
274,104,120,88,1098240,104,120,88,1098240
275,104,118,86,1055392,104,118,86,1055392
276,100,116,96,1113600,100,116,96,1113600
277,100,118,88,1038400,100,118,88,1038400
278,92,116,88,939136,92,116,88,939136
279,72,104,90,673920,72,104,90,673920
280,70,104,100,728000,70,104,100,728000
281,70,104,90,655200,70,104,90,655200
282,102,98,50,499800,102,98,50,499800
283,90,104,50,468000,90,104,50,468000
284,106,92,90,877680,106,92,90,877680
285,102,98,92,919632,102,98,92,919632
286,96,92,88,777216,96,92,88,777216
287,100,88,96,844800,100,88,96,844800
288,98,88,90,776160,98,88,90,776160
289,78,102,104,827424,78,102,104,827424
290,70,102,100,714000,70,102,100,714000
291,106,102,86,929832,106,102,86,929832
292,92,104,102,975936,92,104,102,975936
293,92,104,92,880256,92,104,92,880256
294,108,102,94,1035504,108,102,94,1035504
295,108,98,88,931392,108,98,88,931392
296,96,94,90,812160,96,94,90,812160
297,102,92,96,900864,102,92,96,900864
298,94,92,92,795616,94,92,92,795616
299,102,94,98,939624,102,94,98,939624
300,90,92,94,778320,90,92,94,778320
301,88,106,100,932800,88,106,100,932800
302,86,102,100,877200,86,102,100,877200
303,88,106,102,951456,88,106,102,951456
304,88,104,98,896896,88,104,98,896896
305,108,92,86,854496,108,92,86,854496
306,100,94,94,883600,100,94,94,883600
307,94,96,94,848256,94,96,94,848256
308,102,92,86,807024,102,92,86,807024
309,94,104,82,801632,94,104,82,801632
310,90,84,84,635040,90,84,84,635040
311,102,106,96,1037952,102,106,96,1037952
312,102,106,86,929832,102,106,86,929832
313,94,106,96,956544,94,106,96,956544
314,92,108,88,874368,92,108,88,874368
315,88,92,90,728640,88,92,90,728640
316,92,108,98,973728,92,108,98,973728
317,84,108,98,889056,84,108,98,889056
318,92,96,98,865536,92,96,98,865536
319,92,106,98,955696,92,106,98,955696
320,92,94,98,847504,92,94,98,847504
321,124,88,50,545600,124,88,50,545600
322,114,88,50,501600,114,88,50,501600
323,102,80,50,408000,102,80,50,408000
324,88,116,50,510400,88,116,50,510400
325,88,104,50,457600,88,104,50,457600
326,88,100,50,440000,88,100,50,440000
327,114,88,96,963072,114,88,96,963072
328,106,88,86,802208,106,88,86,802208
329,94,84,86,679056,94,84,86,679056
330,104,88,86,787072,104,88,86,787072
331,92,82,86,648784,92,82,86,648784
332,82,86,124,874448,82,86,124,874448
333,82,86,112,789824,82,86,112,789824
334,76,82,102,635664,76,82,102,635664
335,114,88,86,862752,114,88,86,862752
336,102,84,86,736848,102,84,86,736848
337,84,88,108,798336,84,88,108,798336
338,76,88,98,655424,76,88,98,655424
339,94,86,86,695224,94,86,86,695224
340,70,92,114,734160,70,92,114,734160
341,70,92,104,669760,70,92,104,669760
342,76,90,98,670320,76,90,98,670320
343,100,110,70,770000,100,110,70,770000
344,70,108,94,710640,70,108,94,710640
345,76,122,86,797392,76,122,86,797392
346,92,110,70,708400,92,110,70,708400
347,76,110,92,769120,76,110,92,769120
348,70,124,86,746480,70,124,86,746480
349,70,122,84,717360,70,122,84,717360
350,70,108,84,635040,70,108,84,635040
351,90,120,70,756000,90,120,70,756000
352,90,106,70,667800,90,106,70,667800
353,74,106,100,784400,74,106,100,784400
354,100,106,70,742000,100,106,70,742000
355,86,108,70,650160,86,108,70,650160
356,70,104,86,626080,70,104,86,626080
357,94,100,70,658000,94,100,70,658000
358,92,114,106,1111728,92,114,106,1111728
359,82,112,94,863296,82,112,94,863296
360,96,112,102,1096704,96,112,102,1096704
361,92,114,102,1069776,92,114,102,1069776
362,90,116,74,772560,90,116,74,772560
363,84,116,92,896448,84,116,92,896448
364,96,118,74,838272,96,118,74,838272
365,100,104,72,748800,100,104,72,748800
366,74,102,92,694416,74,102,92,694416
367,98,108,74,783216,98,108,74,783216
368,86,102,106,929832,86,102,106,929832
369,122,92,86,965264,122,92,86,965264
370,82,92,112,844928,82,92,112,844928
371,94,124,86,1002416,94,124,86,1002416
372,94,112,86,905408,94,112,86,905408
373,94,110,86,889240,94,110,86,889240
374,92,124,86,981088,92,124,86,981088
375,88,110,84,813120,88,110,84,813120
376,90,110,86,851400,90,110,86,851400
377,92,118,84,911904,92,118,84,911904
378,104,98,82,835744,104,98,82,835744
379,82,92,112,844928,82,92,112,844928
380,84,110,92,850080,84,110,92,850080
381,86,110,84,794640,86,110,84,794640
382,82,120,84,826560,82,120,84,826560
383,82,106,84,730128,82,106,84,730128
384,82,96,114,897408,82,96,114,897408
385,94,104,86,840736,94,104,86,840736
386,90,106,82,782280,90,106,82,782280
387,94,90,102,862920,94,90,102,862920
388,94,106,88,876832,94,106,88,876832
389,84,100,82,688800,84,100,82,688800
390,114,92,90,943920,114,92,90,943920
391,104,118,90,1104480,104,118,90,1104480
392,94,114,92,985872,94,114,92,985872
393,110,102,86,964920,110,102,86,964920
394,92,118,104,1129024,92,118,104,1129024
395,98,106,84,872592,98,106,84,872592
396,88,106,100,932800,88,106,100,932800
397,96,100,82,787200,96,100,82,787200
398,112,92,88,906752,112,92,88,906752
399,100,92,84,772800,100,92,84,772800
400,110,92,88,890560,110,92,88,890560
401,98,92,84,757344,98,92,84,757344
402,102,92,88,825792,102,92,88,825792
403,90,92,84,695520,90,92,84,695520
404,100,92,90,828000,100,92,90,828000
405,110,90,98,970200,110,90,98,970200
406,98,90,90,793800,98,90,90,793800
407,102,94,82,786216,102,94,82,786216
408,100,94,84,789600,100,94,84,789600
409,92,94,84,726432,92,94,84,726432
410,98,90,92,811440,98,90,92,811440
411,104,94,96,938496,104,94,96,938496
412,98,94,96,884352,98,94,96,884352
413,94,94,94,830584,94,94,94,830584
414,98,106,104,1080352,98,106,104,1080352
415,96,106,92,936192,96,106,92,936192
416,96,106,92,936192,96,106,92,936192
417,90,106,102,973080,90,106,102,973080
418,94,104,88,860288,94,104,88,860288
419,92,104,96,918528,92,104,96,918528
420,92,94,96,830208,92,94,96,830208
421,86,90,98,758520,86,90,98,758520
422,82,90,96,708480,82,90,96,708480
423,92,104,98,937664,92,104,98,937664
424,94,104,90,879840,94,104,90,879840
425,96,104,70,698880,96,104,70,698880
426,90,88,94,744480,90,88,94,744480
427,88,88,86,665984,88,88,86,665984
428,86,92,86,680432,86,92,86,680432
429,88,90,86,681120,88,90,86,681120
430,90,84,96,725760,90,84,96,725760
431,88,84,86,635712,88,84,86,635712
432,102,102,108,1123632,102,102,108,1123632
433,94,92,106,916688,94,92,106,916688
434,84,92,104,803712,84,92,104,803712
435,96,96,98,903168,96,96,98,903168
436,88,92,86,696256,88,92,86,696256
437,96,106,70,712320,96,106,70,712320
438,94,102,70,671160,94,102,70,671160
439,96,102,70,685440,96,102,70,685440
440,96,100,70,672000,96,100,70,672000
441,88,98,70,603680,88,98,70,603680
442,90,106,70,667800,90,106,70,667800
443,98,100,70,686000,98,100,70,686000
444,100,100,70,700000,100,100,70,700000
445,92,106,80,780160,92,106,80,780160
446,88,102,70,628320,88,102,70,628320
447,82,104,72,614016,82,104,72,614016
448,96,100,82,787200,96,100,82,787200
449,98,98,76,729904,98,98,76,729904
450,90,100,80,720000,90,100,80,720000
451,96,100,78,748800,96,100,78,748800
452,88,98,72,620928,88,98,72,620928
453,98,100,76,744800,98,100,76,744800
454,88,98,74,638176,88,98,74,638176
455,78,96,72,539136,78,96,72,539136
456,78,108,100,842400,78,108,100,842400
457,74,106,98,768712,74,106,98,768712
458,76,104,82,648128,76,104,82,648128
459,98,96,98,921984,98,96,98,921984
460,92,90,90,745200,92,90,90,745200
461,98,88,98,845152,98,88,98,845152
462,92,106,100,975200,92,106,100,975200
463,88,96,88,743424,88,96,88,743424
464,92,106,90,877680,92,106,90,877680
465,98,98,92,883568,98,98,92,883568
466,88,106,100,932800,88,106,100,932800
467,92,104,92,880256,92,104,92,880256
468,88,106,100,932800,88,106,100,932800
469,94,100,88,827200,94,100,88,827200
470,88,104,78,713856,88,104,78,713856
471,98,100,96,940800,98,100,96,940800
472,92,90,86,712080,92,90,86,712080
473,104,94,106,1036256,104,94,106,1036256
474,90,92,100,828000,90,92,100,828000
475,104,92,104,995072,104,92,104,995072
476,92,92,92,778688,92,92,92,778688
477,88,90,84,665280,88,90,84,665280
478,94,108,96,974592,94,108,96,974592
479,94,104,86,840736,94,104,86,840736
480,86,94,94,759896,86,94,94,759896
481,92,108,86,854496,92,108,86,854496
482,96,104,98,978432,96,104,98,978432
483,94,92,98,847504,94,92,98,847504
484,50,150,50,375000,50,150,50,375000
485,50,138,50,345000,50,138,50,345000
486,124,50,50,310000,124,50,50,310000
487,80,146,70,817600,80,146,70,817600
488,80,132,70,739200,80,132,70,739200
489,80,118,70,660800,80,118,70,660800
490,124,104,50,644800,124,104,50,644800
491,114,96,50,547200,114,96,50,547200
492,110,100,66,726000,110,100,66,726000
493,100,104,80,832000,100,104,80,832000
494,90,104,78,730080,90,104,78,730080
495,110,100,84,924000,110,100,84,924000
496,98,94,84,773808,98,94,84,773808
497,120,90,76,820800,120,90,76,820800
498,110,80,76,668800,110,80,76,668800
499,100,98,80,784000,100,98,80,784000
500,90,96,78,673920,90,96,78,673920
501,92,112,78,803712,92,112,78,803712
502,104,108,84,943488,104,108,84,943488
503,90,102,82,752760,90,102,82,752760
504,92,104,88,841984,92,104,88,841984
505,72,140,72,725760,72,140,72,725760
506,104,122,70,888160,104,122,70,888160
507,86,116,72,718272,86,116,72,718272
508,88,122,76,815936,88,122,76,815936
509,88,120,70,739200,88,120,70,739200
510,96,118,68,770304,96,118,68,770304
511,96,98,122,1147776,96,98,122,1147776
512,120,94,70,789600,120,94,70,789600
513,130,96,70,873600,130,96,70,873600
514,118,92,70,759920,118,92,70,759920
515,90,104,108,1010880,90,104,108,1010880
516,116,102,70,828240,116,102,70,828240
517,96,114,112,1225728,96,114,112,1225728
518,104,108,110,1235520,104,108,110,1235520
519,118,104,72,883584,118,104,72,883584
520,82,106,118,1025656,82,106,118,1025656
521,84,132,76,842688,84,132,76,842688
522,140,84,76,893760,140,84,76,893760
523,76,134,84,855456,76,134,84,855456
524,90,124,100,1116000,90,124,100,1116000
525,92,114,112,1174656,92,114,112,1174656
526,108,110,70,831600,108,110,70,831600
527,108,106,70,801360,108,106,70,801360
528,122,108,70,922320,122,108,70,922320
529,108,104,70,786240,108,104,70,786240
530,84,116,108,1052352,84,116,108,1052352
531,78,110,98,840840,78,110,98,840840
532,118,112,70,925120,118,112,70,925120
533,106,106,70,786520,106,106,70,786520
534,104,112,74,861952,104,112,74,861952
535,98,118,82,948248,98,118,82,948248
536,96,118,78,883584,96,118,78,883584
537,104,114,76,901056,104,114,76,901056
538,100,114,74,843600,100,114,74,843600
539,100,110,72,792000,100,110,72,792000
540,108,84,92,834624,108,84,92,834624
541,114,90,90,923400,114,90,90,923400
542,102,92,88,825792,102,92,88,825792
543,108,128,70,967680,108,128,70,967680
544,106,126,70,934920,106,126,70,934920
545,86,126,102,1105272,86,126,102,1105272
546,90,126,100,1134000,90,126,100,1134000
547,102,114,74,860472,102,114,74,860472
548,84,126,98,1037232,84,126,98,1037232
549,76,130,86,849680,76,130,86,849680
550,104,124,70,902720,104,124,70,902720
551,88,120,86,908160,88,120,86,908160
552,84,118,84,832608,84,118,84,832608
553,88,110,86,832480,88,110,86,832480
554,88,104,84,768768,88,104,84,768768
555,84,102,84,719712,84,102,84,719712
556,82,104,84,716352,82,104,84,716352
557,88,96,86,726528,88,96,86,726528
558,86,114,96,941184,86,114,96,941184
559,96,92,98,865536,96,92,98,865536
560,88,100,90,792000,88,100,90,792000
561,102,96,76,744192,102,96,76,744192
562,102,106,82,886584,102,106,82,886584
563,106,108,88,1007424,106,108,88,1007424
564,84,106,104,926016,84,106,104,926016
565,100,106,88,932800,100,106,88,932800
566,92,118,88,955328,92,118,88,955328
567,90,104,88,823680,90,104,88,823680
568,102,104,88,933504,102,104,88,933504
569,100,98,88,862400,100,98,88,862400
570,98,100,86,842800,98,100,86,842800
571,92,126,88,1020096,92,126,88,1020096
572,86,124,76,810464,86,124,76,810464
573,94,112,90,947520,94,112,90,947520
574,92,112,88,906752,92,112,88,906752
575,86,112,86,828352,86,112,86,828352
576,86,112,76,732032,86,112,76,732032
577,92,112,88,906752,92,112,88,906752
578,94,116,78,850512,94,116,78,850512
579,98,108,84,889056,98,108,84,889056
580,102,108,88,969408,102,108,88,969408
581,98,102,88,879648,98,102,88,879648
582,98,102,84,839664,98,102,84,839664
583,114,84,84,804384,114,84,84,804384
584,90,110,78,772200,90,110,78,772200
585,86,124,82,874448,86,124,82,874448
586,86,124,84,895776,86,124,84,895776
587,76,124,78,735072,76,124,78,735072
588,86,118,100,1014800,86,118,100,1014800
589,86,118,98,994504,86,118,98,994504
590,88,114,98,983136,88,114,98,983136
591,90,114,94,964440,90,114,94,964440
592,82,116,94,894128,82,116,94,894128
593,86,116,96,957696,86,116,96,957696
594,82,118,94,909544,82,118,94,909544
595,104,114,88,1043328,104,114,88,1043328
596,102,114,78,906984,102,114,78,906984
597,106,92,98,955696,106,92,98,955696
598,88,92,110,890560,88,92,110,890560
599,86,92,98,775376,86,92,98,775376
600,90,92,110,910800,90,92,110,910800
601,84,92,100,772800,84,92,100,772800
602,90,92,110,910800,90,92,110,910800
603,84,92,98,757344,84,92,98,757344
604,88,92,110,890560,88,92,110,890560
605,88,92,100,809600,88,92,100,809600
606,110,90,82,811800,110,90,82,811800
607,100,92,82,754400,100,92,82,754400
608,86,94,104,840736,86,94,104,840736
609,100,94,92,864800,100,94,92,864800
610,88,94,98,810656,88,94,98,810656
611,88,94,102,843744,88,94,102,843744
612,92,94,102,882096,92,94,102,882096
613,102,90,82,752760,102,90,82,752760
614,90,94,108,913680,90,94,108,913680
615,92,94,106,916688,92,94,106,916688
616,94,92,104,899392,94,92,104,899392
617,96,124,90,1071360,96,124,90,1071360
618,96,118,88,996864,96,118,88,996864
619,94,106,92,916688,94,106,92,916688
620,84,122,86,881328,84,122,86,881328
621,96,122,88,1030656,96,122,88,1030656
622,84,94,116,915936,84,94,116,915936
623,100,118,92,1085600,100,118,92,1085600
624,92,102,82,769488,92,102,82,769488
625,94,112,88,926464,94,112,88,926464
626,90,102,80,734400,90,102,80,734400
627,94,104,98,958048,94,104,98,958048
628,90,92,90,745200,90,92,90,745200
629,100,102,74,754800,100,102,74,754800
630,92,102,82,769488,92,102,82,769488
631,96,98,86,809088,96,98,86,809088
632,98,94,88,810656,98,94,88,810656
633,100,102,76,775200,100,102,76,775200
634,84,106,116,1032864,84,106,116,1032864
635,102,104,86,912288,102,104,86,912288
636,106,104,102,1124448,106,104,102,1124448
637,98,106,100,1038800,98,106,100,1038800
638,92,104,98,937664,92,104,98,937664
639,90,104,82,767520,90,104,82,767520
640,100,106,96,1017600,100,106,96,1017600
641,102,106,84,908208,102,106,84,908208
642,90,94,90,761400,90,94,90,761400
643,86,96,90,743040,86,96,90,743040
644,84,108,96,870912,84,108,96,870912
645,80,94,90,676800,80,94,90,676800
646,90,88,98,776160,90,88,98,776160
647,88,86,84,635712,88,86,84,635712
648,94,92,98,847504,94,92,98,847504
649,92,82,100,754400,92,82,100,754400
650,92,90,86,712080,92,90,86,712080
651,98,106,98,1018024,98,106,98,1018024
652,98,96,96,903168,98,96,96,903168
653,84,102,84,719712,84,102,84,719712
654,86,92,84,664608,86,92,84,664608
655,94,104,90,879840,94,104,90,879840
656,100,106,90,954000,100,106,90,954000
657,92,94,88,761024,92,94,88,761024
658,100,106,88,932800,100,106,88,932800
659,100,106,86,911600,100,106,86,911600
660,88,106,84,783552,88,106,84,783552
661,92,92,84,710976,92,92,84,710976
662,92,94,98,847504,92,94,98,847504
663,90,94,88,744480,90,94,88,744480
664,90,96,84,725760,90,96,84,725760
665,102,92,90,844560,102,92,90,844560
666,90,92,90,745200,90,92,90,745200
667,98,92,94,847504,98,92,94,847504
668,98,88,82,707168,98,88,82,707168
669,96,90,98,846720,96,90,98,846720
670,78,82,94,601224,78,82,94,601224
671,98,104,74,754208,98,104,74,754208
672,98,100,72,705600,98,100,72,705600
673,94,98,94,865928,94,98,94,865928
674,92,92,94,795616,92,92,94,795616
675,94,94,86,759896,94,94,86,759896
676,80,92,92,677120,80,92,92,677120
677,94,96,86,776064,94,96,86,776064
678,94,92,84,726432,94,92,84,726432
679,94,88,84,694848,94,88,84,694848
680,86,104,82,733408,86,104,82,733408
681,94,100,82,770800,94,100,82,770800
682,92,98,82,739312,92,98,82,739312
683,96,100,70,672000,96,100,70,672000
684,96,100,70,672000,96,100,70,672000
685,94,98,82,755384,94,98,82,755384
686,94,98,82,755384,94,98,82,755384
687,84,98,82,675024,84,98,82,675024
688,92,102,96,900864,92,102,96,900864
689,88,100,94,827200,88,100,94,827200
690,92,100,88,809600,92,100,88,809600
